item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX044/103/DPL/R0002/01/750G,PRINTED LID -  R & R Packaging Ltd  300 x 220 x 95 750GSM 40,PRINTED LID -  R & R Packaging Ltd  300 x 220 x 95 750GSM 4000 Per Pallet WPEC/BPEC,Glued Lid 4PT Poly,103,0.1507,1,HPK201543/R&R,N,1000x1200,MTO,300.0,220.0,95.0,750.0,1000.0,845.0,,,,,FG Box,901.0,Mix 70%,4000.0,SHT201543/A /,Meat & Poultry,1
BOX045/101/NPB/800G/2100P,UNPRINTED BASE -  438mm x 290mm x 125mm 800GSM 2100 Per Pall,UNPRINTED BASE -  438mm x 290mm x 125mm 800GSM 2100 Per Pallet,Glud Base 4PT No Pol,101,0.2972,1,BOX045/BASE,N,1000x1200,BASE,438.0,290.0,125.0,800.0,0.0,0.0,,,,,FG Box,0.0,Mix 70%,2100.0,Inactive /,Meat & Poultry,0
BOX045/101/NPL/700G/2100P,UNPRINTED LID -  448mm x 300mm x 125mm 700GSM 2100 Per Palle,UNPRINTED LID -  448mm x 300mm x 125mm 700GSM 2100 Per Pallet,Glud Base 4PT No Pol,101,0.2687,1,BOX045/LID,N,1000x1200,LID,448.0,300.0,125.0,700.0,0.0,0.0,,,,,FG Box,0.0,Mix 70%,2100.0,Inactive /,Meat & Poultry,0
BOX045/102/NPB/900G/1500P,UNPRINTED BASE - 15KG BASE 464mm x 306mm x 121mm 900GSM 1500,UNPRINTED BASE - 15KG BASE 464mm x 306mm x 121mm 900GSM 1500 Per Pallet,Glud Base 4PT No Pol,,0.3482,1,BOX045/102/NPB/900G/1800P,N,1000x1200,MTC,464.0,306.0,121.0,900.0,706.0,1096.0,30.0,10.0,5.0,1685.0,FG Box,0.0,Mix 70%,1500.0,4-00387,Meat & Poultry,1
BOX045/102/NPB/900G/1800P,UNPRINTED BASE - 15KG BASE 464mm x 306mm x 121mm 900GSM 1800,UNPRINTED BASE - 15KG BASE 464mm x 306mm x 121mm 900GSM 1800 Per Pallet,Glud Base 4PT No Pol,,0.3482,1,111100277,N,1000x1200,MTO,464.0,306.0,121.0,900.0,706.0,1096.0,30.0,10.0,6.0,1991.0,FG Box,0.0,Mix 70%,1800.0,4-00387 /,Meat & Poultry,1
BOX045/102/YPB/1050G/1500P,UNPRINTED BASE - TPMS BASE 435x315x115 1050G 1500P,UNPRINTED BASE - TPMS BASE 435mm x 315mm x 115mm 1050GSM 1500 Per Pallet,Glued Base 4PT Poly,,0.381,1,111101550,N,1000x1200,MTO,435.0,315.0,115.0,1050.0,1090.0,665.0,30.0,10.0,5.0,,FG Box,0.0,Mix 70%,1500.0,4-16996 /,Meat & Poultry,1
BOX045/102/YPB/1200G/720P,UNPRINTED BASE - HEAVY 2ST BASE *DS 450mm x 300mm x 125mm 12,UNPRINTED BASE - HEAVY 2ST BASE *DS 450mm x 300mm x 125mm 1200GSM 720 Per Pallet,Glued Base 4PT Poly,,0.462,1,111100248,N,1000x1200,BASE,450.0,300.0,125.0,1200.0,700.0,1100.0,24.0,10.0,3.0,1055.0,FG Box,0.0,Mix 70%,720.0,4-15631 /,Meat & Poultry,0
BOX045/102/YPB/900/1750P,UNPRINTED BASE -  2 STONE LEAKPROOF BASE 446x296x125 900G,UNPRINTED BASE -   TWO STONE LEAKPROOF BASE 446mm x 296mm x 125mm 900GSM 1750 Per Pallet,Glued Base 4PT Poly,103,0.342,1,118101620,N,1000x1200,MTO,446.0,296.0,125.0,900.0,1112.0,721.0,35.0,10.0,5.0,1.75,FG Box,0.0,Mix 70%,1750.0,Inactive /,Meat & Poultry,1
BOX045/102/YPB/900G/2000P,UNPRINTED BASE - 18KG PE BASE 464mm x 306mm x 121mm 900GSM,UNPRINTED BASE - 18KG PE BASE 464mm x 306mm x 121mm 900GSM 2000 Per Pallet,Glued Base 4PT Poly,,0.3482,1,BOX045/102/YPB/900G/2400P,N,1000x1200,MTO,464.0,306.0,121.0,900.0,706.0,1096.0,40.0,10.0,5.0,1685.0,FG Box,0.0,Mix 70%,2000.0,4-08744,Meat & Poultry,1
BOX045/102/YPB/900G/2400P,UNPRINTED BASE - 18KG PE BASE 464mm x 306mm x 121mm 900GSM 2,UNPRINTED BASE - 18KG PE BASE 464mm x 306mm x 121mm 900GSM 2400 Per Pallet,Glued Base 4PT Poly,,0.3482,1,118100070,N,1000x1200,MTO,464.0,306.0,121.0,900.0,706.0,1096.0,40.0,10.0,6.0,1991.0,FG Box,0.0,Mix 70%,2400.0,4-08744 /,Meat & Poultry,1
